# F28 host profile of the DSpark decode generation thread (generate 1).
# CAVEAT: the F16 pipeline runs both row groups as greenlets ON this thread; cProfile keeps
#   profiling across greenlet switches, so a switched-out frame's time includes the partner's work.
# strip_dirs() is NOT applied: full paths distinguish staged vs pinned modules.

== top 80 by tottime ==
         74551436 function calls (72662512 primitive calls) in 68.838 seconds

   Ordered by: internal time
   List reduced from 811 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30720    0.139    0.000    0.222    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:3905(_subset_route_plan)
15368/576    0.135    0.000   66.507    0.115 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:3639(__call__)
   138025    0.135    0.000    0.523    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:537(set_result)
   151416    0.134    0.000    0.134    0.000 {method 'release' of '_thread.lock' objects}
    46582    0.132    0.000    0.135    0.000 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:191(down)
      768    0.130    0.000    0.256    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f6/engram_parallel.py:174(_parallel_gather_bytes)
  1273828    0.130    0.000    0.141    0.000 {built-in method builtins.getattr}
32367/7597    0.129    0.000   45.637    0.006 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:142(read_one)
    30724    0.127    0.000    0.164    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v4.py:1686(_sinkhorn_kernel_apply)
   113280    0.127    0.000    0.132    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.venv/lib/python3.12/site-packages/mlx/nn/layers/quantized.py:270(__call__)
32579/7599    0.124    0.000   49.913    0.007 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:80(execute)
   290880    0.122    0.000    0.216    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1632(_wait_ready)
  1191006    0.120    0.000    0.525    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1410(<lambda>)
    35338    0.119    0.000    0.119    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:585(_rmsnorm)
   627840    0.116    0.000    0.182    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:28(_integer)
    15936    0.114    0.000    0.184    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:336(__call__)
    32787    0.114    0.000    0.114    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:4008(<lambda>)
    29952    0.113    0.000    0.113    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:2132(_gather_rows)
15364/576    0.109    0.000   64.436    0.112 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:406(_run_routed_shared_overlap)
   109032    0.107    0.000    0.160    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:124(update)



== top 80 by cumulative ==
         74551436 function calls (72662512 primitive calls) in 68.838 seconds

   Ordered by: cumulative time
   List reduced from 811 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
121952/7183    5.854    0.000  113.108    0.016 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)
    47548    0.072    0.000  107.121    0.002 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:203(early_completions)
    79002    0.161    0.000  103.724    0.001 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:199(as_completed)
16104/7089    0.080    0.000   96.227    0.014 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:48(execute)
  215/192    0.936    0.004   85.588    0.446 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:883(pipelined_forward)
20417/19971    0.037    0.000   78.004    0.004 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:637(wait)
120824/12428    0.461    0.000   77.181    0.006 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:323(wait)
16101/7089    0.053    0.000   68.957    0.010 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1810(ensure_route_part)
31462/15558    0.141    0.000   67.516    0.004 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1923(_ensure_route_locked)
31461/15558    1.189    0.000   66.522    0.004 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:2014(_ensure_route_owned)
15368/576    0.135    0.000   66.507    0.115 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:3639(__call__)
737122/299    1.921    0.000   66.281    0.222 {method 'acquire' of '_thread.lock' objects}
15944/1152    0.141    0.000   65.286    0.057 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:467(__call__)
  214/192    0.001    0.000   65.155    0.339 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:529(pipelined_forward)
  214/192    0.006    0.000   65.141    0.339 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:544(_run_pipeline)
177785/16699    0.762    0.000   64.885    0.004 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:428(result)
  214/192    0.016    0.000   64.829    0.338 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:607(_run_groups)
30742/192    0.351    0.000   64.802    0.338 {method 'switch' of 'greenlet.greenlet' objects}
  394/192    0.003    0.000   64.585    0.336 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:621(run)
      192    0.001    0.000   64.551    0.336 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:582(<lambda>)
  391/192    0.012    0.000   64.522    0.336 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:809(_group_forward)
15364/576    0.109    0.000   64.436    0.112 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:406(_run_routed_shared_overlap)
15363/576    0.026    0.000   63.372    0.110 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:3895(run_switch_with_shared_overlap)
15363/576    0.082    0.000   62.608    0.109 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:2517(run_with_shared_overlap)
15363/576    3.969    0.000   62.376    0.108 <f16_yield_run>:1(run)
32579/7599    0.124    0.000   49.913    0.007 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:80(execute)
32368/7597    0.157    0.000   47.303    0.006 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1411(_fill)
32367/7597    0.129    0.000   45.637    0.006 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:142(read_one)
32578/7599    0.251    0.000   42.516    0.006 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:100(run)
  261/260    0.003    0.000   26.875    0.103 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/run_full.py:492(sample)
      260    0.007    0.000   21.700    0.083 {method '__exit__' of '_io._IOBase' objects}
15362/15360    0.231    0.000   21.080    0.001 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:4127(begin_split_route)
98363/8248    0.196    0.000   17.511    0.002 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:111(read)
    15360    0.042    0.000   17.025    0.001 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:3868(_plan_route_transaction)
98363/8248    1.365    0.000   16.508    0.002 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:1049(_readv_range_into)
    15360    0.288    0.000   14.654    0.001 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1759(plan_transaction)
    15360    0.326    0.000   11.953    0.001 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1528(plan)
    15360    0.294    0.000    6.212    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1372(_transition_window_admissions)
15360/576    0.016    0.000    6.205    0.011 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:333(f16_yield)
15360/576    0.022    0.000    6.202    0.011 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:323(_f16_handoff)
  202/192    0.027    0.000    6.134    0.032 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:579(<lambda>)
  329/322    0.067    0.000    5.633    0.017 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:573(host_memory_snapshot)
      2/1    0.255    0.128    5.043    5.043 <hybrid_lookup_decode>:1(_decode_cycles)
    15360    0.102    0.000    3.631    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:3437(attn_and_moe_input)
      656    0.010    0.000    3.521    0.005 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/selectors.py:402(select)
  329/324    0.007    0.000    3.223    0.010 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:807(__init__)
  329/322    0.027    0.000    3.179    0.010 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:550(box_memory_snapshot)
  329/327    0.010    0.000    3.080    0.009 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1791(_execute_child)
  329/322    0.004    0.000    2.890    0.009 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:506(run)
      328    0.004    0.000    2.584    0.008 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1165(communicate)
    15360    0.023    0.000    2.382    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1697(ensure_route)
    15360    0.037    0.000    2.328    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:1503(__call__)
    15360    0.151    0.000    2.280    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:1517(_attend)
    15360    0.023    0.000    2.190    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:3601(flush_deferred_slot_releases)
    15359    0.019    0.000    2.160    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:332(release)
      328    0.007    0.000    2.150    0.007 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2062(_communicate)
    31450    0.038    0.000    1.891    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:489(release)
    31450    0.080    0.000    1.808    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:503(_release_owned)
      328    1.749    0.005    1.749    0.005 {built-in method _posixsubprocess.fork_exec}
    31450    0.008    0.000    1.599    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:468(_run_claimed_slot_cleanup)
    31450    0.057    0.000    1.591    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:399(_finish_slots)
    15359    0.067    0.000    1.569    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:1508(close)
    15359    0.005    0.000    1.431    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:966(release_hits)
       68    0.001    0.000    1.387    0.020 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/scripts/deepseek_v41/bench_standard_shape.py:642(_sample)
   229381    0.198    0.000    1.368    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:415(_finish_slot_claim)
215776/214979    0.062    0.000    1.352    0.000 {built-in method builtins.next}
  211/206    0.003    0.000    1.179    0.006 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1473(_fill_batch)
  211/206    0.001    0.000    1.104    0.005 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:146(read_batch)
    12764    0.298    0.000    1.038    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1323(_transition_window_scores)
    31454    0.094    0.000    0.880    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:1235(iter_ready_misses)
